name,platform,year_of_release,genre,rating
Madden NFL 07,PS2,2006,Sports,E
Spider-Man: The Movie,PS2,2002,Action,E
Super Mario 3D World,WiiU,2013,Platform,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,
God of War,PS2,2005,Action,M
Nintendo Land,WiiU,2012,Misc,E10+
Tony Hawks Pro Skater 3,PS2,2001,Sports,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,M
Zelda II: The Adventure of Link,NES,1987,Adventure,
Call of Duty: Advanced Warfare,PS3,2014,Shooter,M
Fallout 4,XOne,2015,Role-Playing,M
Need for Speed: Most Wanted,PS2,2005,Racing,T
Michael Jackson: The Experience,Wii,2010,Misc,E10+
Resistance: Fall of Man,PS3,2006,Shooter,M
Sonic the Hedgehog,GEN,1991,Platform,
Kingdom Hearts II,PS2,2005,Role-Playing,E10+
Call of Duty: Advanced Warfare,X360,2014,Shooter,M
Asteroids,2600,1980,Shooter,
FIFA 15,PS3,2014,Sports,E
Fable II,X360,2008,Role-Playing,M
Batman: Arkham Asylum,PS3,2009,Action,T
Namco Museum,GBA,2001,Misc,E
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,M
FIFA 14,X360,2013,Sports,E
Assassins Creed: Revelations,PS3,2011,Action,M
Daxter,PSP,2006,Platform,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,
FIFA Soccer 06,PS2,2005,Sports,E
EyeToy Play,PS2,2003,Misc,E
Assassins Creed: Revelations,X360,2011,Action,M
Gran Turismo 5 Prologue,PS3,2007,Racing,E
FIFA 12,X360,2011,Sports,
Teenage Mutant Ninja Turtles,NES,1989,Action,
Street Fighter IV,PS3,2009,Fighting,T
Excitebike,NES,1984,Racing,
Frogger,PS,1997,Action,
Madden NFL 2003,PS2,2002,Sports,E
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,M
Half-Life,PC,1997,Shooter,M
Super Mario World 2: Yoshis Island,SNES,1995,Platform,
FIFA Soccer 07,PS2,2006,Sports,
Street Fighter II Turbo,SNES,1992,Fighting,
Watch Dogs,PS4,2014,Action,M
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,T
Batman: Arkham Knight,PS4,2015,Action,M
God of War II,PS2,2007,Action,M
Far Cry 4,PS4,2014,Shooter,M
Fallout: New Vegas,X360,2010,Role-Playing,M
World Soccer Winning Eleven 9,PS2,2005,Sports,E
Carnival Games,Wii,2007,Misc,E
Forza Motorsport 2,X360,2007,Racing,E
Namco Museum Vol.3,PS,1996,Misc,
Tekken Tag Tournament,PS2,2000,Fighting,T
Star Fox 64,N64,1997,Shooter,
Golf,NES,1984,Sports,
Tom Clancys The Division,PS4,2016,Shooter,M
Assassins Creed: Unity,PS4,2014,Action,M
Namco Museum: 50th Anniversary,PS2,2005,Misc,E10+
Left 4 Dead 2,X360,2009,Shooter,M
Fallout 3,PS3,2008,Role-Playing,M
The Legend of Zelda: Skyward Sword,Wii,2011,Action,E10+
Professor Layton and the Diabolical Box,DS,2007,Puzzle,E10+
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,M
Nintendogs + cats,3DS,2011,Simulation,
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,T
Star Wars Battlefront (2015),XOne,2015,Shooter,
Donkey Kong Land,G,1994,Platform,
EA Sports Active,Wii,2009,Sports,E
NBA 2K16,PS4,2015,Sports,E10+
Tony Hawks Underground,PS2,2003,Sports,T
Tekken 5,PS2,2005,Fighting,T
Dragon Warrior III,NES,1988,Role-Playing,
MotorStorm,PS3,2006,Racing,T
World Soccer Winning Eleven 8 International,PS2,2004,Sports,E
Sports Champions,PS3,2010,Sports,E10+
Namco Museum Vol.1,PS,1995,Misc,
Call of Duty: Ghosts,PS4,2013,Shooter,M
The Legend of Zelda: Links Awakening,G,1992,Action,
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,E
